fare_id,route_id,origin_id,destination_id,contains_id
NORMAL,,1,,
NORMAL,BROWN ALT,2,,
ISTOP,TEAL WEEKEND,2,,
NORMAL,GREENHOPPER EVENING,2,,
NORMAL,5E GREEN EXPRESS ALT,2,,
ISTOP,GOLDHOPPER,2,,
NORMAL,GREY,2,,
NORMAL,BLUE,2,,
ISTOP,YELLOWHOPPER,2,,
ISTOP,SILVER LIMITED WEEKEND,2,,
NORMAL,GREY EVENING,2,,
NORMAL,RUBY WEEKEND,2,,
NORMAL,GREEN EXPRESS,2,,
NORMAL,GREEN LATE NIGHT,2,,
NORMAL,LIME SATURDAY,2,,
ISTOP,1N YELLOW ALT,2,,
ISTOP,ILLINI,2,,
NORMAL,BRONZE,2,,
NORMAL,NAVY,2,,
NORMAL,ORANGE,2,,
NORMAL,GREENHOPPER,2,,
ISTOP,1N YELLOW ALT PM,2,,
NORMAL,LAVENDER SUNDAY,2,,
ISTOP,TEAL LATE NIGHT,2,,
ISTOP,AIR BUS WEEKEND,2,,
ISTOP,YELLOW,2,,
NORMAL,LAVENDER,2,,
NORMAL,RUBY EVENING,2,,
ISTOP,SILVER EVENING,2,,
NORMAL,RED,2,,
NORMAL,BRONZE YANKEE RIDGE,2,,
ISTOP,ILLINI LIMITED WEEKEND,2,,
ISTOP,TEAL,2,,
ISTOP,ILLINI EVENING,2,,
NORMAL,5E GREEN EXPRESS 1 ALT,2,,
ISTOP,YELLOW LATE NIGHT,2,,
NORMAL,LAVENDER SATURDAY,2,,
ISTOP,1S YELLOW ALT,2,,
ISTOP,SILVER WEEKEND,2,,
ISTOP,GOLD,2,,
ISTOP,1 YELLOW ALT,2,,
NORMAL,GREEN EVENING,2,,
NORMAL,RUBY,2,,
NORMAL,GREENHOPPER EVENING WEEKEND,2,,
NORMAL,PINK,2,,
NORMAL,3S LAVENDER ALT,2,,
NORMAL,GREY SATURDAY,2,,
NORMAL,5W GREEN EXPRESS 2,2,,
NORMAL,LIME EVENING,2,,
NORMAL,BROWN ALT PM,2,,
NORMAL,GREEN,2,,
NORMAL,10W GOLD ALT,2,,
ISTOP,SILVER,2,,
ISTOP,YELLOW WEEKEND,2,,
NORMAL,BROWN,2,,
NORMAL,LIME SUNDAY,2,,
ISTOP,AIR BUS,2,,
ISTOP,YELLOW EVENING,2,,
ISTOP,TEAL EVENING,2,,
ISTOP,ILLINI LIMITED EVENING,2,,
ISTOP,SILVER LATE NIGHT,2,,
NORMAL,GREEN WEEKEND,2,,
ISTOP,ILLINI LIMITED,2,,
ISTOP,SILVER LIMITED EVENING,2,,
NORMAL,5W GREEN ALT 2,2,,
NORMAL,ORANGEHOPPER,2,,
NORMAL,7E GREY ALT,2,,
NORMAL,7W GREY ALT,2,,
NORMAL,GREY SUNDAY,2,,
NORMAL,ORANGE ALT,2,,
NORMAL,RED SATURDAY,2,,
